method_name,degradation_type,severity,parameter,parameter_value,num_samples,top1_accuracy,top5_accuracy,overall_accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,inference_time_seconds,clean_top1_accuracy,clean_macro_f1,top1_drop,macro_f1_drop
resnet18_scratch_basic_aug_sgd,brightness,3,factor,0.7,5000,0.2846,0.518,0.2846,0.2846,0.3399632620799085,0.2846,0.2854958840013169,29.91378525001346,0.3794,0.37511498506033875,0.0948,0.08961910105902182
resnet18_scratch_basic_aug_sgd,brightness,4,factor,0.6,5000,0.2296,0.4502,0.2296,0.22960000000000003,0.3097112409896673,0.22960000000000003,0.23264658039791355,31.044926792004844,0.3794,0.37511498506033875,0.14980000000000002,0.1424684046624252
resnet18_scratch_basic_aug_sgd,brightness,5,factor,0.5,5000,0.167,0.3522,0.167,0.167,0.2651990419229498,0.167,0.16802928620305677,31.04522170801647,0.3794,0.37511498506033875,0.2124,0.20708569885728198
sift_bovw_svm,brightness,1,factor,0.9,5000,0.0328,0.0882,0.0328,0.032799999999999996,0.02325881893290157,0.032799999999999996,0.02524754260599139,113.1832888329809,0.0318,0.025116982298457366,-0.0010000000000000009,-0.00013056030753402434
sift_bovw_svm,brightness,2,factor,0.8,5000,0.0308,0.0868,0.0308,0.030799999999999998,0.021480329363128284,0.030799999999999998,0.02279444276866564,126.1003392910061,0.0318,0.025116982298457366,0.0010000000000000009,0.0023225395297917263
sift_bovw_svm,brightness,3,factor,0.7,5000,0.0328,0.0848,0.0328,0.032799999999999996,0.020936005637344393,0.032799999999999996,0.023327810939156667,129.2287166250171,0.0318,0.025116982298457366,-0.0010000000000000009,0.0017891713593006994
sift_bovw_svm,brightness,4,factor,0.6,5000,0.032,0.0886,0.032,0.032,0.021843744029690835,0.032,0.023428942563829814,127.74038279100205,0.0318,0.025116982298457366,-0.0001999999999999988,0.001688039734627552
sift_bovw_svm,brightness,5,factor,0.5,5000,0.026,0.0798,0.026,0.026,0.018858074857108272,0.026,0.0186151041961177,113.83755920801195,0.0318,0.025116982298457366,0.005800000000000003,0.006501878102339667
hog_random_forest,gaussian_noise,1,sigma,0.02,5000,0.0122,0.0446,0.0122,0.0122,0.006736907136022021,0.0122,0.0067466252178886126,37.253844125021715,0.0132,0.008393324228811136,0.0009999999999999992,0.001646699010922523
hog_random_forest,gaussian_noise,2,sigma,0.04,5000,0.0094,0.042,0.0094,0.009399999999999999,0.006249866952028814,0.009399999999999999,0.005052375895919444,41.02312337499461,0.0132,0.008393324228811136,0.0037999999999999996,0.0033409483328916915
